tagId,tag
473,grim
583,judaism
484,hackers
909,sexuality
815,private detective
48,alone in the world
82,assassination
433,german
249,confrontational
1088,virus
901,sequel
738,olympics
402,foreign
574,jane austen
330,drug addiction
299,destiny
109,based on a play
389,fight scenes
661,money
919,silly
863,romance
1113,witches
206,chocolate
672,motorcycle
396,first contact
102,bad script
383,father daughter relationship
229,colourful
694,natural disaster
944,space program
160,brainwashing
120,beautiful
460,gothic
561,iraq war
969,stop motion
275,cult classic
588,kids
549,inspiring
820,psychedelic
977,stunning
66,antarctica
1125,wuxia
598,lawyers
845,reflective
438,gilliam
256,corny
992,suprisingly clever
1042,travel
893,screwball
749,oscar (best cinematography)
903,serial killer
444,golf
149,bollywood
121,beautiful scenery
981,stylish
81,assassin
7,1960s
910,sexualized violence
551,intelligent
472,greed
196,cheating
50,alternate endings
674,movie business
582,journalism
95,awful
42,alcoholism
895,script
182,capitalism
987,super hero
284,dancing
1039,trains
678,mtv
1044,treasure hunt
91,autism
436,ghosts/afterlife
600,life
737,oil
187,casino
899,self discovery
112,based on a video game
791,poignant
191,censorship
1073,very interesting
268,crime
487,hallucinatory
875,sappy
79,artistic
480,gulf war
1098,wartime
994,surprise ending
1102,wedding
134,biography
28,adultery
735,off-beat comedy
763,overrated
61,animal movie
809,prejudice
835,racism
237,communism
1015,teenager
63,animated
531,idealism
767,paranoid
1093,visuals
100,bad plot
542,indiana jones
440,glbt
1003,sweet
350,england
798,political
958,spoof
341,eccentricity
259,costume drama
787,plot
775,peter pan
855,road trip
423,gangster
321,dragon
492,harry potter
709,no plot
221,clones
731,nudity (topless - notable)
127,best war films
937,solitude
35,afterlife
86,atmospheric
143,bleak
891,scifi cult
76,art house
36,aging
136,birds
190,catholicism
337,dystopic future
332,dumb
727,nudity (full frontal - notable)
404,fountain of youth
157,boston
580,jewish
1033,too short
555,internet
721,notable soundtrack
842,reality tv
485,hacking
832,race
9,1980s
312,disturbing
155,boring
765,parallel universe
263,courtroom drama
495,hawaii
924,skinhead
693,native americans
369,explosions
1021,terminal illness
889,science fiction
420,futuristic
1105,werewolf
768,parenthood
590,king arthur
11,3d
951,special effects
865,romantic comedy
336,dystopia
497,heartwarming
626,man versus machine
1078,vienna
205,china
201,chick flick
784,pirates
89,author:alan moore
105,bank robbery
796,police corruption
510,hit men
986,suicide attempt
685,music business
305,directorial debut
769,paris
493,harsh
946,spaghetti western
322,dragons
526,hotel
730,nudity (topless - brief)
1107,western
203,childhood
140,black and white
415,fun movie
692,nasa
703,new orleans
166,broadway
522,horror
1008,talky
774,period piece
181,caper
192,cerebral
513,holiday
387,feel good movie
479,guilty pleasure
391,fighting the system
1108,whimsical
952,spelling bee
227,college
662,monkey
613,love
675,movielens top pick
560,iraq
720,notable nudity
931,small town
217,classical music
1123,writers
831,rabbits
827,puppets
608,london
617,lynch
864,romantic
464,great
245,computer game
18,absurd
20,action packed
742,original
429,genetics
195,chase
862,rock and roll
1031,tom clancy
465,great acting
1085,violent
243,complicated plot
453,good story
202,child abuse
176,camp
839,rats
1028,time travel
941,southern theme
748,oscar (best animated feature)
648,mexico
753,oscar (best foreign language film)
907,sexual
405,france
932,snakes
503,high school
702,new jersey
260,courage
538,immortality
302,dialogue
208,christian
732,nudity (topless)
1103,weed
77,artificial intelligence
804,potential oscar nom
736,office
577,jay and silent bob
923,sisters
1100,watch the credits
949,spanish civil war
927,slasher
60,androids
14,9/11
781,photographer
710,nocturnal
483,gypsy accent
846,relationships
554,interesting
747,oscar (best actress)
92,aviation
307,disappointing
665,monty python
4,1920s
348,emotional
873,samurai
878,satirical
311,distopia
216,classic car
73,arms dealer
679,multiple storylines
1095,voyeurism
3,18th century
242,complicated
562,ireland
874,san francisco
851,revolution
595,las vegas
539,incest
547,insanity
74,arnold
118,bdsm
999,suspense
1034,torture
6,1950s
1057,unfunny
744,orphans
310,disney animated feature
698,neil gaiman
12,70mm
315,documentary
265,crazy
849,remake
57,amnesia
373,fake documentary
1020,tense
55,amazing photography
386,fbi
371,fairy tale
85,atheism
1120,world war i
349,end of the world
126,best of 2005
368,existentialism
755,oscar (best music - original song)
394,finnish
991,supernatural
152,book
605,literary adaptation
1007,talking animals
645,mental illness
173,business
535,imagination
650,midlife crisis
966,steampunk
224,coen bros
178,canada
840,realistic
633,marx brothers
1013,teen
346,egypt
475,gritty
641,melancholy
300,detective
797,police investigation
474,grindhouse
51,alternate history
743,original plot
639,meditative
712,noir thriller
972,storytelling
258,corruption
239,competition
854,road movie
762,over the top
409,free to download
568,island
1045,tricky
800,politics
585,justice
384,father son relationship
351,enigmatic
776,pg
714,non-linear
993,surfing
652,mindfuck
806,powerful ending
869,russian
758,oscar (best supporting actor)
355,entertaining
853,rio de janeiro
695,nature
816,product placement
836,radio
532,identity
161,brazil
1061,unlikeable characters
802,post apocalyptic
1101,weapons
642,memory
456,gore
1111,wistful
962,stage magic
108,based on a comic
948,spanish
1058,unintentionally funny
282,cynical
1052,undercover cop
234,comics
13,80s
251,conspiracy
904,series
283,dance
777,pg-13
269,crime gone awry
773,perfect
342,ecology
918,silent
1096,war
860,robot
447,good action
636,mathematics
808,pregnancy
481,gunfight
496,heartbreaking
517,homophobia
1080,vietnam war
632,marvel
364,excellent
1109,wilderness
375,family bonds
1074,video game
746,oscar (best actor)
122,beautifully filmed
928,slavery
188,catastrophe
494,haunted house
458,gory
701,nerds
17,abortion
431,genocide
1041,transgender
454,good versus evil
1122,writer's life
603,light
705,new york city
1019,television
829,quirky
708,no dialogue
107,based on a book
572,italy
24,adapted from:game
199,chess
