movieId,title_cast,director,runtime,budget,plot_keywords
2111,,,,,
125646,,,,,
4221,Scott Bakula|Hector Elizondo|Robert Loggia|Harley Jane Kozak|Larry Miller|Sinbad|Fred Thompson|Rob Schneider|Jason Bateman|Andrew Bryniarski|Duane Davis|Michael Dolan|Marcus Giamatti|Kathy Ireland|Andrew Lauer,Rick Natkin,108.0,"$13,500,000",locker room|men's locker room|farm|bar
76714,,,,,
88744,Andy Serkis|Karin Konoval|Terry Notary|Richard Ridings|Christopher Gordon|Devyn Dalton|Jay Caputo|James Franco|Freida Pinto|John Lithgow|Brian Cox|Tom Felton|David Oyelowo|Tyler Labine|Jamie Harris,Rick Jaffa,105.0,"$93,000,000",ape|chimpanzee|alzheimer's disease|when animals attack
25959,,,,,
116397,Kate Beckinsale|Jim Sturgess|David Thewlis|Brendan Gleeson|Ben Kingsley|Michael Caine|Jason Flemyng|Sophie Kennedy Clark|Sinéad Cusack|Edmund Kingsley|Robert Hands|Ciara Flynn|Christopher Fulford|Andrew Dallmeyer|Guillaume Delaunay,Edgar Allan Poe,112.0,,madhouse|mental institution|gothic horror|psychotronic film
5560,,,,,
6949,Jon Favreau|Joey Lauren Adams|Bud Cort|Jon Gries|Daryl Hannah|Adam Beach|Gary Farmer|Rachael Leigh Cook|Brent Briscoe|Melora Walters|Kelsey Grammer|Sean Bean|Alejandra Aguilan|Jay Brothers|Sara Fouts,Steve Anderson,,,cowboy|neighbor|suitcase|fbi agent
130344,,Lois Patiño,81.0,,Documentary
104132,,,,,
93450,Joko Anwar|Clarine Baharrizki|Ladya Cheryl|Andhara Early|Carlo Genta|Pong Harjatmo|Wicaksono,Edwin,77.0,"$250,000",
108597,,,,,
6398,,,,,
6321,Bette Midler|John Goodman|Trini Alvarado|Stephen Collins|Marsha Mason|Eileen Brennan|Linda Hart|Ben Stiller|William McNamara|John Bell|Ashley Peldon|Alisan Porter|Kenneth Kimmins|Bob Gerchen|Willie Rosario,Olive Higgins Prouty,109.0,,motherhood|sacrificing for one's child|character name as title|forename as title
118448,,,,,
45662,Predrag Bjelac|Carlo Sabatini|Bohumil Svarc|Liev Schreiber|Giovanni Lombardo Radice|Baby Zikova|Baby Morvas|Baby Muller|Baby Litera|Julia Stiles|Tomas Wooler|Rafael Sallas|Marshall Cupp|Martin Hindy|Seamus Davey-Fitzpatrick,David Seltzer,110.0,"$25,000,000",antichrist|evil|boy|child murderer
97494,,,,,
