movieId,title,genres
173479,The Boss's Daughter (2016),Comedy|Drama|Romance
199508,Kizi mizi (2007),Animation|Romance
155176,Erika - The Performer (1971),Drama
33051,Skin Game (1971),Comedy|Romance|Western
124939,The Perfect Furlough (1958),Comedy
166490,David Wants to Fly (2010),Documentary
162876,Big Beat (1993),Comedy
6824,Ruby (1992),Crime|Drama
201733,Depraved (2019),Horror
31921,"Seven-Per-Cent Solution, The (1976)",Adventure|Comedy|Crime|Drama|Mystery|Thriller
121819,The Last Posse (1953),Western
200010,Nudist (2010),Drama
89506,"Appeared, The (Aparecidos) (2007)",Horror|Thriller
165767,Courage for Every Day (1964),Drama
136857,Girl House (2014),Horror|Thriller
111899,Luv (1967),Comedy
202051,Room for Rent (2019),Thriller
5245,Simon (1980),Comedy|Sci-Fi
205102,Te Ata (2017),Drama
158946,A Taste of Romance (2012),Children|Romance
167866,Homerun (2003),Children|Drama
205080,"Ay, mi madre! (2019)",Comedy
153917,Jalsa (2008),(no genres listed)
166030,Invisible (2016),(no genres listed)
144386,The Underdog Knight (2008),Action|Comedy
167684,Eternity (2016),Drama
124621,Shaolin Mantis (1978),Action
79899,Ten9Eight: Shoot for the Moon (2009),Documentary
141369,"Hard Revenge, Milly: Bloody Battle (2009)",Action|Drama|Sci-Fi
171739,Showdown at Area 51 (2007),Sci-Fi|Thriller
147777,Fast Charlie... the Moonbeam Rider (1979),Action
84238,Aankhen (2002),Comedy|Crime|Thriller
59116,Virgin Territory (2007),Adventure|Comedy|Romance
106563,Once Upon a Scoundrel (1974),Comedy
160648,Black Mountain Side (2016),Horror|Thriller
200384,Detective Conan: The Darkest Nightmare (2016),Adventure|Animation|Mystery
91223,"Constant Nymph, The (1943)",Drama|Romance
153957,The Dark Side Of Chocolate (2010),Documentary|Drama
200456,Nad Życie (2012),Drama
108430,Eggshells (1969),Drama|Fantasy
174159,The Monster (1903),Fantasy|Horror
93652,Public Housing (1997),Documentary
170647,Max and the Junkmen (1971),Thriller
